time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-04-29T12:16:04.920Z,37.333168,-118.3511658,9.27,2.33,md,24,169,0.1142,0.05,nc,nc73378110,2020-04-29T15:06:03.307Z,"5km SE of Bishop, CA",earthquake,0.44,0.75,0.22,18,automatic,nc,nc
2020-04-29T12:10:38.270Z,37.3330002,-118.3533325,9.72,3.73,mw,33,130,0.1134,0.05,nc,nc73378105,2020-04-29T16:20:41.437Z,"5km SE of Bishop, CA",earthquake,0.43,0.79,,4,reviewed,nc,nc
2020-04-29T12:07:27.700Z,38.815834,-122.7648315,2.25,0.4,md,8,105,0.01265,0.02,nc,nc73378100,2020-04-29T12:35:03.585Z,"4km W of Cobb, CA",earthquake,0.43,1.11,0.17,2,automatic,nc,nc
2020-04-29T11:59:09.100Z,35.8645,-117.6525,12.39,0.85,ml,10,107,0.06606,0.11,ci,ci39409680,2020-04-29T12:02:52.451Z,"24km ESE of Little Lake, CA",earthquake,0.39,0.72,0.162,8,automatic,ci,ci
2020-04-29T11:58:37.030Z,38.8296661,-122.8101654,2.01,0.84,md,21,61,0.01777,0.02,nc,nc73378090,2020-04-29T12:13:03.658Z,"8km NW of The Geysers, CA",earthquake,0.22,0.47,0.06,2,automatic,nc,nc
2020-04-29T11:57:01.230Z,38.8156662,-122.7613297,1.75,2.2,md,45,61,0.01507,0.05,nc,nc73378085,2020-04-29T14:35:03.137Z,"3km WSW of Cobb, CA",earthquake,0.17,0.26,0.2,15,automatic,nc,nc
2020-04-29T11:55:53.090Z,35.8713333,-117.6913333,6.33,0.86,ml,16,78,0.08332,0.09,ci,ci39409672,2020-04-29T11:59:35.874Z,"21km ESE of Little Lake, CA",earthquake,0.2,0.55,0.209,10,automatic,ci,ci
2020-04-29T11:52:15.150Z,59.3802,-137.1485,0,2.4,ml,,,,1,ak,ak0205inclbf,2020-04-29T11:55:03.316Z,"98km W of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T11:45:13.810Z,17.9513,-66.8396,12,2.27,md,13,209,0.0462,0.17,pr,pr2020120019,2020-04-29T12:10:41.852Z,"5km SSW of Indios, Puerto Rico",earthquake,0.54,0.57,0.01,3,reviewed,pr,pr
2020-04-29T11:44:47.130Z,38.141,-118.814,1.3,1.8,ml,13,119.4,0.242,0.03,nn,nn00723947,2020-04-29T12:11:29.092Z,"38km ESE of Bridgeport, California",earthquake,,7.6,,,automatic,nn,nn
2020-04-29T11:41:26.597Z,63.1957,-148.3477,63.9,1.7,ml,,,,0.43,ak,ak0205ina9bf,2020-04-29T11:52:22.214Z,"37km SE of Cantwell, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-04-29T11:39:00.140Z,40.7115,-112.0678333,8.42,0.54,md,8,98,0.02797,0.09,uu,uu60382682,2020-04-29T14:24:10.840Z,"2km E of Magna, Utah",earthquake,0.77,1.02,0.209,3,reviewed,uu,uu
2020-04-29T11:32:36.949Z,60.8885,-150.5228,34.8,1.6,ml,,,,0.43,ak,ak0205in8cog,2020-04-29T11:44:29.248Z,"41km NNE of Sterling, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-04-29T11:31:02.465Z,60.2295,-152.653,107.6,1.1,ml,,,,0.71,ak,ak0205in829y,2020-04-29T11:35:46.428Z,"28km S of Redoubt Volcano, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-04-29T11:21:13.750Z,46.9715,-112.825,15.01,1.77,ml,17,131,0.117,0.17,mb,mb80414519,2020-04-29T14:34:17.640Z,"11km W of Lincoln, Montana",earthquake,0.44,0.6,0.197,4,reviewed,mb,mb
2020-04-29T11:20:33.939Z,36.86366667,-97.45516667,5,1.83,ml,79,93,0.1502705118,0.28,ok,ok2020ikhi,2020-04-29T12:39:49.056Z,"16km WNW of Blackwell, Oklahoma",earthquake,,0.9,0.2,34,reviewed,ok,ok
2020-04-29T11:05:09.870Z,17.8676,-66.9038,8,2.76,md,20,224,0.1103,0.17,pr,pr2020120017,2020-04-29T11:32:28.500Z,"11km S of Guanica, Puerto Rico",earthquake,0.68,0.89,0.25,8,reviewed,pr,pr
2020-04-29T10:58:15.993Z,62.2379,-150.6599,48.5,1.6,ml,,,,0.74,ak,ak0205imsg2f,2020-04-29T11:03:19.007Z,"30km WSW of Talkeetna, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-04-29T10:56:39.260Z,17.9621,-66.7375,10,2.58,md,12,183,0.1423,0.13,pr,pr2020120016,2020-04-29T11:32:56.820Z,"4km SSW of Tallaboa, Puerto Rico",earthquake,0.35,0.39,0.13,6,reviewed,pr,pr
2020-04-29T10:54:27.910Z,37.5836678,-118.8554993,5.38,0.89,md,10,210,0.0219,0.02,nc,nc73378065,2020-04-29T11:12:03.306Z,"12km ESE of Mammoth Lakes, CA",earthquake,1.39,1.61,0.17,11,automatic,nc,nc
2020-04-29T10:52:11.998Z,-23.7303,69.5295,10,4.9,mb,,76,20.582,0.53,us,us60009ele,2020-04-29T11:15:26.040Z,"Mid-Indian Ridge",earthquake,9.8,1.9,0.068,68,reviewed,us,us
2020-04-29T10:51:56.460Z,17.9158,-66.9128,9,2.58,md,16,228,0.0682,0.17,pr,pr2020120015,2020-04-29T11:33:10.546Z,"6km S of Guanica, Puerto Rico",earthquake,0.72,1.09,0.15,10,reviewed,pr,pr
2020-04-29T10:49:01.840Z,38.8273315,-122.7968369,2.76,0.83,md,14,58,0.01106,0.01,nc,nc73378060,2020-04-29T11:04:03.255Z,"6km W of Cobb, CA",earthquake,0.27,0.65,0.06,2,automatic,nc,nc
2020-04-29T10:48:24.190Z,33.1248333,-116.5278333,11.46,0.72,ml,29,64,0.07305,0.22,ci,ci39409656,2020-04-29T13:09:23.614Z,"9km NE of Julian, CA",earthquake,0.39,1.02,0.08,11,reviewed,ci,ci
2020-04-29T10:39:07.020Z,33.4835,-116.5073333,11.94,1.23,ml,58,30,0.07641,0.17,ci,ci39409648,2020-04-29T13:09:45.590Z,"17km ESE of Anza, CA",earthquake,0.19,0.37,0.254,27,reviewed,ci,ci
2020-04-29T10:31:16.200Z,38.1392,-118.7742,1.1,1.3,ml,10,157.04,0.228,0.05,nn,nn00723946,2020-04-29T11:46:27.873Z,"42km ESE of Bridgeport, California",earthquake,,8.2,,,automatic,nn,nn
2020-04-29T10:26:59.939Z,36.3725,-96.95766667,5.72,1.67,ml,76,36,0,0.26,ok,ok2020ikfo,2020-04-29T13:01:17.042Z,"14km WNW of Pawnee, Oklahoma",earthquake,,0.4,0.19,27,reviewed,ok,ok
2020-04-29T10:23:16.245Z,-5.2952,152.5129,35,5.1,mb,,181,1.15,1.18,us,us60009el9,2020-04-29T10:48:43.040Z,"107km SSE of Kokopo, Papua New Guinea",earthquake,10.5,2,0.048,142,reviewed,us,us
2020-04-29T10:22:48.249Z,20.1691,-74.1685,10,4.5,mb,,44,0.857,1.03,us,us60009el1,2020-04-29T11:02:23.676Z,"39km ESE of Baracoa, Cuba",earthquake,5.4,1.9,0.032,288,reviewed,us,us
2020-04-29T10:17:42.380Z,36.1118333,-117.838,1.8,0.98,ml,11,118,0.01481,0.12,ci,ci39409640,2020-04-29T13:09:39.029Z,"12km NE of Coso Junction, CA",earthquake,0.39,0.28,0.411,8,reviewed,ci,ci
2020-04-29T10:13:24.297Z,61.6735,-157.2723,10.6,1.3,ml,,,,0.69,ak,ak0205imithr,2020-04-29T10:26:20.252Z,"143km ESE of Holy Cross, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T10:11:33.155Z,61.55,-146.4451,22.1,1.6,ml,,,,0.86,ak,ak0205imieqy,2020-04-29T10:24:38.860Z,"46km N of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-04-29T10:06:19.480Z,40.7355,-112.0663333,8.45,0.21,md,10,90,0.02011,0.16,uu,uu60382677,2020-04-29T14:22:05.120Z,"4km NE of Magna, Utah",earthquake,0.57,0.82,0.114,4,reviewed,uu,uu
2020-04-29T09:59:57.210Z,17.919,-66.8218,12,2.89,md,16,226,0.0803,0.11,pr,pr2020120014,2020-04-29T10:20:30.192Z,"8km S of Indios, Puerto Rico",earthquake,0.66,0.37,0.14,6,reviewed,pr,pr
2020-04-29T09:58:45.630Z,39.0718333,-111.4658333,3.93,2.67,ml,34,45,0.1116,0.16,uu,uu60382672,2020-04-29T14:36:18.871Z,"20km SSE of Manti, Utah",earthquake,0.3,0.65,0.109,15,reviewed,uu,uu
2020-04-29T09:56:53.300Z,33.6,-116.8071667,4.8,0.34,ml,16,75,0.03649,0.11,ci,ci39409632,2020-04-29T10:00:27.344Z,"13km WNW of Anza, CA",earthquake,0.32,0.44,0.185,8,automatic,ci,ci
2020-04-29T09:54:44.350Z,41.468,-112.34,0.58,1.06,md,11,99,0.09231,0.14,uu,uu60382667,2020-04-29T14:20:30.050Z,"25km W of Perry, Utah",earthquake,0.6,31.61,0.221,8,reviewed,uu,uu
2020-04-29T09:54:01.400Z,35.6893333,-117.5225,6.4,0.9,ml,16,155,0.1138,0.15,ci,ci39409624,2020-04-29T13:10:10.493Z,"14km SW of Searles Valley, CA",earthquake,0.45,1.37,0.123,10,reviewed,ci,ci
2020-04-29T09:53:11.100Z,38.8278351,-122.8133316,1.83,0.93,md,24,41,0.005112,0.02,nc,nc73378035,2020-04-29T10:25:03.967Z,"8km NW of The Geysers, CA",earthquake,0.19,0.35,0.12,5,automatic,nc,nc
2020-04-29T09:50:52.100Z,35.4101667,-117.8011667,7.77,1.99,ml,39,37,0.1193,0.14,ci,ci39409616,2020-04-29T10:01:38.300Z,"16km WNW of Johannesburg, CA",earthquake,0.19,0.83,0.124,26,automatic,ci,ci
2020-04-29T09:50:13.650Z,39.7758331,-121.9958344,14.79,2.95,md,25,49,0.2092,0.2,nc,nc73378025,2020-04-29T15:04:14.349Z,"4km NNE of Hamilton City, CA",earthquake,0.4,1.13,0.16,29,automatic,nc,nc
2020-04-29T09:46:10.040Z,38.8084984,-122.8121643,0,0.8,md,20,55,0.01318,0.05,nc,nc73378020,2020-04-29T10:11:03.568Z,"6km NW of The Geysers, CA",earthquake,0.17,0.57,0.07,3,automatic,nc,nc
2020-04-29T09:45:17.450Z,38.8100014,-122.8118362,0.17,0.55,md,9,104,0.01308,0.02,nc,nc73378015,2020-04-29T10:00:04.020Z,"6km NW of The Geysers, CA",earthquake,0.31,0.91,,1,automatic,nc,nc
2020-04-29T09:44:56.850Z,35.8875,-117.6935,7.25,0.87,ml,20,75,0.0697,0.11,ci,ci39409608,2020-04-29T09:48:25.122Z,"20km ESE of Little Lake, CA",earthquake,0.21,0.61,0.107,11,automatic,ci,ci
2020-04-29T09:40:20.060Z,44.8595,-111.4893333,8.51,0.46,ml,12,128,0.051,0.2,mb,mb80414509,2020-04-29T14:02:18.430Z,"37km NW of West Yellowstone, Montana",earthquake,0.84,1.05,0.088,4,reviewed,mb,mb
2020-04-29T09:38:06.910Z,38.1847,-118.7637,0.1,1.1,ml,12,162.75,0.205,0.56,nn,nn00723939,2020-04-29T09:51:07.529Z,"39km SSW of Hawthorne, Nevada",earthquake,,42.6,,,automatic,nn,nn
2020-04-29T09:35:36.140Z,40.7398333,-112.0753333,7.57,0.24,md,12,87,0.01382,0.11,uu,uu60382662,2020-04-29T14:10:01.140Z,"4km NNE of Magna, Utah",earthquake,0.42,0.98,0.08,5,reviewed,uu,uu
2020-04-29T09:31:39.559Z,59.8898,-145.9996,9,1.7,ml,,,,1.34,ak,ak0205im19xl,2020-04-29T09:36:57.579Z,"53km NNE of Middleton Island, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T09:29:05.730Z,35.8421667,-117.6768333,9.35,0.89,ml,19,79,0.06965,0.17,ci,ci39409600,2020-04-29T09:32:45.011Z,"23km ESE of Little Lake, CA",earthquake,0.3,0.77,0.153,10,automatic,ci,ci
2020-04-29T09:27:57.590Z,38.8088341,-122.8291702,2.1,0.76,md,11,66,0.009223,0.02,nc,nc73378005,2020-04-29T09:42:02.902Z,"7km WNW of The Geysers, CA",earthquake,0.28,0.62,0.15,2,automatic,nc,nc
2020-04-29T09:27:42.185Z,61.8397,-149.257,43.6,1.1,ml,,,,0.46,ak,ak0205im0fae,2020-04-29T09:33:35.862Z,"10km N of Fishhook, Alaska",earthquake,,0.6,,,automatic,ak,ak
2020-04-29T09:23:17.851Z,60.7139,-150.5739,44.3,1.1,ml,,,,0.45,ak,ak0205ilziju,2020-04-29T09:33:35.300Z,"22km NNE of Sterling, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-04-29T09:13:49.750Z,36.3036667,-83.4638333,15,2.5,md,22,52,0.02527,0.19,se,se60289532,2020-04-29T14:48:26.303Z,"5km ENE of Rutledge, Tennessee",earthquake,0.45,0.78,0.078,16,reviewed,se,se
2020-04-29T09:08:52.690Z,35.674,-117.5188333,7.7,0.68,ml,12,153,0.09875,0.17,ci,ci39409592,2020-04-29T09:12:23.798Z,"15km SW of Searles Valley, CA",earthquake,0.44,1.55,0.218,8,automatic,ci,ci
2020-04-29T08:47:12.630Z,38.471,-112.7953333,1.67,-0.49,md,5,300,0.05327,0.05,uu,uu60382657,2020-04-29T14:06:20.480Z,"20km ENE of Milford, Utah",earthquake,0.89,2.7,0.435,2,reviewed,uu,uu
2020-04-29T08:44:18.070Z,38.1605,-118.7715,0.8,1.4,ml,11,168.33,0.22,0.66,nn,nn00723937,2020-04-29T11:40:03.469Z,"41km ESE of Bridgeport, California",earthquake,,48.6,,,automatic,nn,nn
2020-04-29T08:42:37.847Z,63.3082,-147.2557,3.1,1.4,ml,,,,0.62,ak,ak0205ili73e,2020-04-29T08:53:04.964Z,"85km E of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T08:40:25.656Z,60.4607,-141.2284,0,1.3,ml,,,,1.14,ak,ak0205ilhqh3,2020-04-29T08:51:24.261Z,"79km NE of Cape Yakataga, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-04-29T08:40:24.410Z,34.3326667,-116.9793333,2.95,0.97,ml,20,78,0.08532,0.25,ci,ci39409584,2020-04-29T08:44:01.735Z,"12km NNW of Big Bear Lake, CA",earthquake,0.43,1.42,0.192,20,automatic,ci,ci
2020-04-29T08:37:47.234Z,63.1001,-150.532,104.8,1.3,ml,,,,0.2,ak,ak0205ilh57l,2020-04-29T08:48:12.502Z,"85km WSW of Cantwell, Alaska",earthquake,,2.4,,,automatic,ak,ak
2020-04-29T08:34:18.520Z,36.0835,-117.844,1.5,1.16,ml,18,119,0.03513,0.14,ci,ci39409576,2020-04-29T08:37:57.536Z,"10km ENE of Coso Junction, CA",earthquake,0.27,0.3,0.214,17,automatic,ci,ci
2020-04-29T08:33:37.820Z,36.0825,-117.8456667,0.54,0.94,ml,13,122,0.03579,0.13,ci,ci39409568,2020-04-29T08:37:09.700Z,"10km ENE of Coso Junction, CA",earthquake,0.34,0.42,0.143,10,automatic,ci,ci
2020-04-29T08:17:48.690Z,-4.5219,102.5046,56.38,4.8,mb,,95,0.477,0.58,us,us60009ejp,2020-04-29T08:38:40.040Z,"84km SSE of Bengkulu, Indonesia",earthquake,8.4,7,0.087,41,reviewed,us,us
2020-04-29T08:16:44.370Z,37.6296654,-118.9868317,3.98,0.93,md,18,119,0.02488,0.02,nc,nc73377980,2020-04-29T08:22:03.378Z,"1km SW of Mammoth Lakes, CA",earthquake,0.43,0.74,0.18,16,automatic,nc,nc
2020-04-29T08:14:43.240Z,35.7431667,-117.5493333,3.11,0.89,ml,14,89,0.08233,0.16,ci,ci39409560,2020-04-29T13:10:53.663Z,"13km WSW of Searles Valley, CA",earthquake,0.31,0.57,0.231,10,reviewed,ci,ci
2020-04-29T08:11:04.830Z,36.36916667,-96.95966667,5.02,1.41,ml,74,35,0,0.23,ok,ok2020ikbb,2020-04-29T13:07:34.787Z,"14km WNW of Pawnee, Oklahoma",earthquake,,0.4,0.18,26,reviewed,ok,ok
2020-04-29T08:11:03.070Z,18.0203,-66.7691,14,2.3,md,22,73,0.119,0.1,pr,pr2020120013,2020-04-29T08:39:12.484Z,"0km N of Magas Arriba, Puerto Rico",earthquake,0.27,0.4,0.19,4,reviewed,pr,pr
2020-04-29T08:01:29.290Z,32.9396667,-116.264,8.23,0.74,ml,20,133,0.03631,0.24,ci,ci39409552,2020-04-29T08:05:16.513Z,"26km SSW of Ocotillo Wells, CA",earthquake,0.52,0.82,0.277,9,automatic,ci,ci
2020-04-29T07:51:28.250Z,35.6028333,-117.3826667,7.79,0.93,ml,15,173,0.06684,0.22,ci,ci39409544,2020-04-29T07:55:11.462Z,"18km S of Trona, CA",earthquake,0.6,1.07,0.145,10,automatic,ci,ci
2020-04-29T07:38:46.149Z,35.1005,-97.7425,7,1.26,ml,18,114,0.1052793406,0.2,ok,ok2020ijzz,2020-04-29T15:34:33.111Z,"8km WSW of Blanchard, Oklahoma",earthquake,,0.8,0.35,6,reviewed,ok,ok
2020-04-29T07:38:29.592Z,65.1967,-152.2339,0,1.4,ml,,,,0.66,ak,ak0205ikvvzj,2020-04-29T07:46:58.737Z,"7km WNW of Tanana, Alaska",earthquake,,1.1,,,automatic,ak,ak
2020-04-29T07:38:08.740Z,35.8578333,-117.6783333,7.9,0.7,ml,13,84,0.07796,0.09,ci,ci39409536,2020-04-29T13:11:38.668Z,"22km ESE of Little Lake, CA",earthquake,0.24,0.8,0.122,9,reviewed,ci,ci
2020-04-29T07:20:31.495Z,-2.7663,-77.4186,34.21,4.4,mb,,103,1.86,0.56,us,us60009ej2,2020-04-29T08:09:41.040Z,"89km ESE of Sucua, Ecuador",earthquake,7.8,7.9,0.072,56,reviewed,us,us
2020-04-29T07:15:24.970Z,19.2364998,-155.4253387,32.12,2.01,md,33,117,0.02632,0.16,hv,hv71492737,2020-04-29T07:18:41.080Z,"6km ENE of Pahala, Hawaii",earthquake,0.7,1.14,0.15,15,automatic,hv,hv
2020-04-29T07:00:13.600Z,33.4971667,-116.5181667,8.6,1.93,ml,74,31,0.06112,0.22,ci,ci39409528,2020-04-29T13:12:55.050Z,"16km ESE of Anza, CA",earthquake,0.19,0.44,0.255,25,reviewed,ci,ci
2020-04-29T06:56:45.350Z,60.4388,-140.7908,16.4,1.3,ml,,,,0.45,ak,ak0205ikechj,2020-04-29T07:03:58.667Z,"99km ENE of Cape Yakataga, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-04-29T06:54:50.550Z,36.5445,-89.593,7.4,1.8,md,31,42,0.03014,0.04,nm,nm60289477,2020-04-29T14:24:37.530Z,"5km SSE of Lilbourn, Missouri",earthquake,0.41,0.54,0.174,24,reviewed,nm,nm
2020-04-29T06:54:15.300Z,36.64916667,-98.8555,6.86,0.87,ml,25,96,0.06298763968,0.1,ok,ok2020ijyn,2020-04-29T13:11:09.031Z,"24km SW of Alva, Oklahoma",earthquake,,0.3,0.21,8,reviewed,ok,ok
2020-04-29T06:40:28.996Z,61.3895,-150.0946,42.5,1.3,ml,,,,0.61,ak,ak0205ikavrm,2020-04-29T06:45:11.591Z,"16km SSW of Big Lake, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-04-29T06:35:37.804Z,62.8013,-148.8362,10.1,1.2,ml,,,,0.82,ak,ak0205ik9tum,2020-04-29T06:39:19.459Z,"66km S of Cantwell, Alaska",earthquake,,0.2,,,automatic,ak,ak
2020-04-29T06:32:29.800Z,40.7325,-112.032,9.29,0.68,md,15,104,0.00628,0.09,uu,uu60382647,2020-04-29T13:23:17.840Z,"5km NNW of West Valley City, Utah",earthquake,0.33,0.58,0.179,8,reviewed,uu,uu
2020-04-29T06:30:53.600Z,39.4088333,-110.3043333,-1.6,1.97,md,10,199,0.02216,0.12,uu,uu60382652,2020-04-29T14:18:55.100Z,"18km SSE of East Carbon City, Utah",earthquake,0.74,0.49,0.266,7,reviewed,uu,uu
2020-04-29T06:25:59.980Z,38.8318329,-122.8174973,1.67,1.09,md,26,48,0.01023,0.02,nc,nc73377955,2020-04-29T06:46:03.699Z,"8km NW of The Geysers, CA",earthquake,0.18,0.34,0.12,5,automatic,nc,nc
